iter	Passed	Remaining
0	1	151
1	2	133
2	3	127
3	4	118
4	6	117
5	7	117
6	9	121
7	11	131
8	12	128
9	13	124
10	14	120
11	16	118
12	17	117
13	18	115
14	20	116
15	22	116
16	23	115
17	24	113
18	26	111
19	27	110
20	29	111
21	30	109
22	32	108
23	33	106
24	35	105
25	36	103
26	37	102
27	39	102
28	41	100
29	42	98
30	43	97
31	44	95
32	46	93
33	47	92
34	48	90
35	50	89
36	51	87
37	52	85
38	53	84
39	55	83
40	57	82
41	58	80
42	60	80
43	62	79
44	63	77
45	64	76
46	66	74
47	67	72
48	69	72
49	70	70
50	71	69
51	73	67
52	74	66
53	75	64
54	76	62
55	77	61
56	79	59
57	80	58
58	82	57
59	83	55
60	85	54
61	87	53
62	89	52
63	90	50
64	92	49
65	93	48
66	94	46
67	95	44
68	96	43
69	98	42
70	99	40
71	100	39
72	101	37
73	102	36
74	104	34
75	105	33
76	106	31
77	107	30
78	109	28
79	110	27
80	111	26
81	112	24
82	113	23
83	115	21
84	116	20
85	117	19
86	118	17
87	120	16
88	121	15
89	122	13
90	123	12
91	125	10
92	126	9
93	127	8
94	133	7
95	136	5
96	146	4
97	151	3
98	154	1
99	155	0
